## B-spline experiments:  using SPHERE grid cutoff
#
# Testing: cubicBspline Taylor4
#
          30006   nonicBspline       Taylor10       7.000000                         837.439583   6.693925e-03   9.493836e-01       5.156314       1.682503
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10       8.000000                          98.051300   7.837557e-04   1.048437e-01       4.722587       2.283134
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10       9.000000                          32.386482   2.588756e-04   1.515178e-02       5.092937       3.020662
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      10.000000                           7.221846   5.772654e-05   4.220678e-03       5.069180       3.117986
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      11.000000                           1.840099   1.470850e-05   1.622457e-03       5.280332       4.075357
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      12.000000                          -0.126356   1.010001e-06   3.866399e-04       5.197370       5.314223
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      13.000000                          -0.120648   9.643766e-07   1.038242e-04       5.406222       6.654216
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      14.000000                          -0.019151   1.530806e-07   4.620692e-05       5.801882       8.126258
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      15.000000                          -0.019220   1.536306e-07   2.386999e-05       5.841508       8.368481
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      16.000000                           0.004848   3.874932e-08   7.679398e-06       6.795403      10.010669
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      17.000000                           0.002976   2.378623e-08   3.740070e-06       7.337885      11.817328
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      18.000000                          -0.000206   1.643146e-09   1.522255e-06       9.056562      13.950753
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      19.000000                          -0.000341   2.722198e-09   6.698579e-07      10.804366      15.996754
#        natoms         approx          split         cutoff                          enerr_abs      enerr_rel       ferr_rel        t_setup         t_calc
          30006   nonicBspline       Taylor10      20.000000                          -0.000086   6.908846e-10   4.595724e-07      10.869118      16.221431

# Testing: undecicBspline Taylor12
#
